Divipola,Departamento,Municipio,Numerador,Denominador,ValorIndicador,Anio
0,Total Nacional,Total Nacional,505,719968,70.14,2005
2000,Total Municipios PDET,Total Municipios PDET,113,104769,107.86,2005
11001,"Bogotá, D.C.","Bogotá, D.C.",64,112477,56.90,2005
5000,Antioquia,Antioquia,61,94636,64.46,2005
76000,Valle del Cauca,Valle del Cauca,55,62297,88.29,2005
13000,Bolivar,Bolivar,29,31846,91.06,2005
8000,Atlántico,Atlántico,29,40624,71.39,2005
25000,Cundinamarca,Cundinamarca,24,35901,66.85,2005
76001,Valle del Cauca,Cali,24,31213,76.89,2005
47000,Magdalena,Magdalena,23,20988,109.59,2005
19000,Cauca,Cauca,20,18263,109.51,2005
2012,Sierra Nevada - Perijá,Sierra Nevada - Perijá,18,26565,67.76,2005
73000,Tolima,Tolima,18,23295,77.27,2005
52000,Nariño,Nariño,18,23489,76.63,2005
54000,Norte de Santander,Norte de Santander,17,20936,81.20,2005
68000,Santander,Santander,17,33737,50.39,2005
44000,La Guajira,La Guajira,15,11447,131.04,2005
15000,Boyacá,Boyacá,15,20523,73.09,2005
5001,Antioquia,Medellín,15,33515,44.76,2005
8001,Atlántico,Barranquilla,14,23295,60.10,2005
27000,Chocó,Chocó,13,5181,250.92,2005
2003,Bajo Cauca y Nordeste Antioqueño,Bajo Cauca y Nordeste Antioqueño,13,9014,144.22,2005
2009,Pacífico Medio,Pacífico Medio,12,5592,214.59,2005
50000,Meta,Meta,11,15922,69.09,2005
2010,Pacífico y Frontera Nariñense,Pacífico y Frontera Nariñense,10,5214,191.79,2005
2016,Urabá Antioqueño,Urabá Antioqueño,10,11302,88.48,2005
76109,Valle del Cauca,Buenaventura,10,4966,201.37,2005
13001,Bolívar,Cartagena,9,17146,52.49,2005
66000,Risaralda,Risaralda,9,12942,69.54,2005
2005,Chocó,Chocó,8,1289,620.64,2005
18000,Caquetá,Caquetá,8,7249,110.36,2005
2006,Cuenca del Caguán y Piedemonte Caqueteño,Cuenca del Caguán y Piedemonte Caqueteño,8,7719,103.64,2005
41000,Huila,Huila,8,20873,38.33,2005
70000,Sucre,Sucre,8,15530,51.51,2005
2001,Alto Patía - Norte del Cauca,Alto Patía - Norte del Cauca,8,10563,75.74,2005
47001,Magdalena,Santa Marta,7,9182,76.24,2005
23000,Córdoba ,Córdoba ,7,27075,25.85,2005
20000,Cesar,Cesar,7,20418,34.28,2005
54001,Norte de Santander,Cúcuta,7,11545,60.63,2005
2013,Sur de Bolívar,Sur de Bolívar,6,2259,265.60,2005
27001,Chocó,Quibdó,6,2752,218.02,2005
2008,Montes de María,Montes de María,6,5749,104.37,2005
2007,Macarena - Guaviare,Macarena - Guaviare,5,3322,150.51,2005
76834,Valle del Cauca,Tuluá,5,3160,158.23,2005
17000,Caldas,Caldas,5,14079,35.51,2005
73001,Tolima,Ibagué,5,8315,60.13,2005
8758,Atlántico,Soledad,5,8075,61.92,2005
50001,Meta,Villavicencio,5,8528,58.63,2005
52001,Nariño,Pasto,5,6166,81.09,2005
25754,Cundinamarca,Soacha,5,5575,89.69,2005
63000,Quindio,Quindio,5,7499,66.68,2005
5495,Antioquia,Nechí,4,479,835.07,2005
44430,La Guajira,Maicao,4,2825,141.59,2005
52835,Nariño,San Andrés de Tumaco,4,3481,114.91,2005
66001,Risaralda,Pereira,4,6318,63.31,2005
44847,La Guajira,Uribia,3,431,696.06,2005
47189,Magdalena,Ciénaga,3,1886,159.07,2005
95000,Guaviare,Guaviare,3,1752,171.23,2005
19517,Cauca,Paez,3,862,348.03,2005
2004,Catatumbo,Catatumbo,3,1722,174.22,2005
44001,La Guajira,Riohacha,3,3699,81.10,2005
17380,Caldas,La Dorada,3,1507,199.07,2005
19001,Cauca,Popayán,3,4137,72.52,2005
68081,Santander,Barrancabermeja,3,3688,81.34,2005
5837,Antioquia,Turbo,3,3518,85.28,2005
15572,Boyacá,Puerto Boyacá,3,985,304.57,2005
86000,Putumayo,Putumayo,3,5208,57.60,2005
5154,Antioquia,Caucasia,3,2270,132.16,2005
70001,Sucre,Sincelejo,3,5316,56.43,2005
85000,Casanare,Casanare,3,5937,50.53,2005
25269,Cundinamarca,Facatativá,3,2145,139.86,2005
81000,Arauca,Arauca,3,5083,59.02,2005
15001,Boyacá,Tunja,3,2967,101.11,2005
13670,Bolívar,San Pablo,3,447,671.14,2005
68689,Santander,San Vicente de Chucurí,3,611,491.00,2005
18753,Caquetá,San Vicente del Caguán,3,880,340.91,2005
76147,Valle del Cauca,Cartago,3,1919,156.33,2005
63001,Quindio,Armenia,3,3764,79.70,2005
19785,Cauca,Sucre,2,139,1438.85,2005
27450,Chocó,Medio San Juan,2,133,1503.76,2005
68077,Santander,Barbosa,2,473,422.83,2005
27205,Chocó,Condoto,2,158,1265.82,2005
94000,Guainía,Guainía,2,518,386.10,2005
52079,Nariño,Barbacoas,2,496,403.23,2005
52250,Nariño,El Charco,2,266,751.88,2005
73443,Tolima,Mariquita,2,615,325.20,2005
44090,La Guajira,Dibulla,2,358,558.66,2005
5490,Antioquia,Necoclí,2,859,232.83,2005
25175,Cundinamarca,Chía,2,1680,119.05,2005
5045,Antioquia,Apartadó,2,3015,66.33,2005
13430,Bolívar,Magangué,2,2205,90.70,2005
54498,Norte de Santander,Ocaña,2,1655,120.85,2005
2011,Putumayo,Putumayo,2,4662,42.90,2005
47245,Magdalena,El Banco,2,1220,163.93,2005
20001,Cesar,Valledupar,2,8912,22.44,2005
41001,Huila,Neiva,2,5794,34.52,2005
2002,Arauca,Arauca,2,3364,59.45,2005
23417,Córdoba ,Lorica,2,2160,92.59,2005
52356,Nariño,Ipiales,2,2038,98.14,2005
23001,Córdoba ,Montería,2,8199,24.39,2005
5360,Antioquia,Itagui,2,3195,62.60,2005
76520,Valle del Cauca,Palmira,2,4205,47.56,2005
25885,Cundinamarca,Yacopí,2,180,1111.11,2005
66572,Risaralda,Pueblo Rico,2,203,985.22,2005
5038,Antioquia,Angostura,2,208,961.54,2005
23300,Córdoba ,Cotorra,2,219,913.24,2005
27361,Chocó,Istmina,2,274,729.93,2005
8137,Atlántico,Campo de La Cruz,2,291,687.29,2005
18150,Caquetá,Cartagena del Chairá,2,316,632.91,2005
5674,Antioquia,San Vicente,2,328,609.76,2005
5895,Antioquia,Zaragoza,2,528,378.79,2005
19142,Cauca,Caloto,2,536,373.13,2005
85250,Casanare,Paz de Ariporo,2,555,360.36,2005
73504,Tolima,Ortega,2,672,297.62,2005
76895,Valle del Cauca,Zarzal,2,690,289.86,2005
73411,Tolima,Líbano,2,767,260.76,2005
54518,Norte de Santander,Pamplona,2,840,238.10,2005
13836,Bolívar,Turbaco,2,952,210.08,2005
47980,Magdalena,Zona Bananera,2,1026,194.93,2005
91000,Amazonas,Amazonas,2,1266,157.98,2005
5266,Antioquia,Envigado,2,1629,122.77,2005
52473,Nariño,Mosquera,1,92,1086.96,2005
15820,Boyacá,Tópaga,1,54,1851.85,2005
25612,Cundinamarca,Ricaurte,1,100,1000.00,2005
18592,Caquetá,Puerto Rico,1,558,179.21,2005
27615,Chocó,Riosucio,1,210,476.19,2005
41016,Huila,Aipe,1,332,301.20,2005
73055,Tolima,Armero,1,225,444.44,2005
68572,Santander,Puente Nacional,1,217,460.83,2005
54810,Norte de Santander,Tibú,1,565,176.99,2005
20570,Cesar,Pueblo Bello,1,237,421.94,2005
5361,Antioquia,Ituango,1,465,215.05,2005
76250,Valle del Cauca,El Dovio,1,214,467.29,2005
44035,La Guajira,Albania,1,259,386.10,2005
25572,Cundinamarca,Puerto Salgar,1,276,362.32,2005
25799,Cundinamarca,Tenjo,1,291,343.64,2005
95001,Guaviare,San José del Guaviare,1,1262,79.24,2005
19821,Cauca,Toribio,1,292,342.47,2005
73408,Tolima,Lérida,1,346,289.02,2005
13433,Bolívar,Mahates,1,338,295.86,2005
15469,Boyacá,Moniquirá,1,383,261.10,2005
47268,Magdalena,El Retén,1,369,271.00,2005
5120,Antioquia,Cáceres,1,698,143.27,2005
76736,Valle del Cauca,Sevilla,1,733,136.43,2005
5042,Antioquia,Santafé de Antioquia,1,398,251.26,2005
8078,Atlántico,Baranoa,1,917,109.05,2005
81065,Arauca,Arauquita,1,820,121.95,2005
50313,Meta,Granada,1,1276,78.37,2005
5604,Antioquia,Remedios,1,450,222.22,2005
94001,Guainía,Inírida,1,452,221.24,2005
85440,Casanare,Villanueva,1,438,228.31,2005
44560,La Guajira,Manaure,1,526,190.11,2005
41668,Huila,San Agustín,1,568,176.06,2005
86320,Putumayo,Orito,1,562,177.94,2005
2015,Sur del Tolima,Sur del Tolima,1,2483,40.27,2005
25307,Cundinamarca,Girardot,1,1865,53.62,2005
76248,Valle del Cauca,El Cerrito,1,714,140.06,2005
41132,Huila,Campoalegre,1,699,143.06,2005
13688,Bolívar,Santa Rosa del Sur,1,637,156.99,2005
5736,Antioquia,Segovia,1,761,131.41,2005
5172,Antioquia,Chigorodó,1,1619,61.77,2005
19573,Cauca,Puerto Tejada,1,806,124.07,2005
2014,Sur de Córdoba,Sur de Córdoba,1,3950,25.32,2005
44650,La Guajira,San Juan del Cesar,1,858,116.55,2005
18001,Caquetá,Florencia,1,3419,29.25,2005
5579,Antioquia,Puerto Berrío,1,1076,92.94,2005
70708,Sucre,San Marcos,1,1195,83.68,2005
73268,Tolima,Espinal,1,1385,72.20,2005
23807,Córdoba ,Tierralta,1,1813,55.16,2005
66170,Risaralda,Dosquebradas,1,2670,37.45,2005
5615,Antioquia,Rionegro,1,1626,61.50,2005
41298,Huila,Garzón,1,1566,63.86,2005
8433,Atlántico,Malambo,1,1715,58.31,2005
5088,Antioquia,Bello,1,5479,18.25,2005
68001,Santander,Bucaramanga,1,9111,10.98,2005
91798,Amazonas,Tarapacá (ANM),1,41,2439.02,2005
54109,Norte de Santander,Bucarasica,1,51,1960.78,2005
19364,Cauca,Jambaló,1,52,1923.08,2005
50325,Meta,Mapiripán,1,56,1785.71,2005
52390,Nariño,La Tola,1,58,1724.14,2005
68682,Santander,San Joaquín,1,60,1666.67,2005
13655,Bolívar,San Jacinto del Cauca,1,62,1612.90,2005
18479,Caquetá,Morelia,1,67,1492.54,2005
25120,Cundinamarca,Cabrera,1,77,1298.70,2005
68684,Santander,San José de Miranda,1,79,1265.82,2005
13062,Bolívar,Arroyohondo,1,86,1162.79,2005
68502,Santander,Onzaga,1,86,1162.79,2005
15223,Boyacá,Cubará,1,87,1149.43,2005
52323,Nariño,Gualmatán,1,87,1149.43,2005
68720,Santander,Santa Helena del Opón,1,90,1111.11,2005
13248,Bolívar,El Guamo,1,93,1075.27,2005
5873,Antioquia,Vigía del Fuerte,1,99,1010.10,2005
86219,Putumayo,Colón,1,99,1010.10,2005
25372,Cundinamarca,Junín,1,102,980.39,2005
13160,Bolívar,Cantagallo,1,103,970.87,2005
95200,Guaviare,Miraflores,1,104,961.54,2005
15296,Boyacá,Gameza,1,107,934.58,2005
25793,Cundinamarca,Tausa,1,122,819.67,2005
19418,Cauca,López,1,123,813.01,2005
15757,Boyacá,Socha,1,126,793.65,2005
25839,Cundinamarca,Ubalá,1,136,735.29,2005
47798,Magdalena,Tenerife,1,140,714.29,2005
19022,Cauca,Almaguer,1,141,709.22,2005
8675,Atlántico,Santa Lucía,1,153,653.59,2005
13894,Bolívar,Zambrano,1,153,653.59,2005
54800,Norte de Santander,Teorama,1,158,632.91,2005
15806,Boyacá,Tibasosa,1,160,625.00,2005
50683,Meta,San Juan de Arama,1,162,617.28,2005
25438,Cundinamarca,Medina,1,175,571.43,2005
47960,Magdalena,Zapayán,1,175,571.43,2005
5190,Antioquia,Cisneros,1,186,537.63,2005
5649,Antioquia,San Carlos,1,188,531.91,2005
13673,Bolívar,Santa Catalina,1,190,526.32,2005
19780,Cauca,Suárez,1,191,523.56,2005
13810,Bolívar,Tiquisio,1,198,505.05,2005
5607,Antioquia,Retiro,1,221,452.49,2005
20295,Cesar,Gamarra,1,221,452.49,2005
95025,Guaviare,El Retorno,1,221,452.49,2005
5667,Antioquia,San Rafael,1,223,448.43,2005
50577,Meta,Puerto Lleras,1,224,446.43,2005
76100,Valle del Cauca,Bolívar,1,226,442.48,2005
20383,Cesar,La Gloria,1,227,440.53,2005
15299,Boyacá,Garagoa,1,232,431.03,2005
76306,Valle del Cauca,Ginebra,1,236,423.73,2005
13473,Bolívar,Morales,1,237,421.94,2005
5789,Antioquia,Támesis,1,241,414.94,2005
47318,Magdalena,Guamal,1,243,411.52,2005
54820,Norte de Santander,Toledo,1,246,406.50,2005
76616,Valle del Cauca,Riofrío,1,251,398.41,2005
54206,Norte de Santander,Convención,1,252,396.83,2005
8558,Atlántico,Polonuevo,1,259,386.10,2005
25772,Cundinamarca,Suesca,1,266,375.94,2005
8372,Atlántico,Juan de Acosta,1,269,371.75,2005
66687,Risaralda,Santuario,1,269,371.75,2005
5234,Antioquia,Dabeiba,1,293,341.30,2005
15047,Boyacá,Aquitania,1,304,328.95,2005
68255,Santander,El Playón,1,308,324.68,2005
13654,Bolívar,San Jacinto,1,309,323.62,2005
47170,Magdalena,Chivolo,1,316,316.46,2005
41770,Huila,Suaza,1,327,305.81,2005
5284,Antioquia,Frontino,1,340,294.12,2005
5642,Antioquia,Salgar,1,343,291.55,2005
73675,Tolima,San Antonio,1,354,282.49,2005
68655,Santander,Sabana de Torres,1,364,274.73,2005
70508,Sucre,Ovejas,1,376,265.96,2005
19318,Cauca,Guapi,1,380,263.16,2005
17662,Caldas,Samaná,1,381,262.47,2005
19075,Cauca,Balboa,1,386,259.07,2005
17777,Caldas,Supía,1,389,257.07,2005
70429,Sucre,Majagual,1,408,245.10,2005
8634,Atlántico,Sabanagrande,1,409,244.50,2005
41791,Huila,Tarqui,1,409,244.50,2005
54003,Norte de Santander,Abrego,1,420,238.10,2005
47058,Magdalena,Ariguaní,1,445,224.72,2005
73616,Tolima,Rioblanco,1,456,219.30,2005
81300,Arauca,Fortul,1,458,218.34,2005
73585,Tolima,Purificación,1,468,213.68,2005
70823,Sucre,Tolú Viejo,1,473,211.42,2005
76622,Valle del Cauca,Roldanillo,1,532,187.97,2005
19532,Cauca,Patía,1,550,181.82,2005
47555,Magdalena,Plato,1,556,179.86,2005
5101,Antioquia,Ciudad Bolívar,1,558,179.21,2005
8296,Atlántico,Galapa,1,575,173.91,2005
20228,Cesar,Curumaní,1,663,150.83,2005
47551,Magdalena,Pivijay,1,670,149.25,2005
63470,Quindio,Montenegro,1,675,148.15,2005
5051,Antioquia,Arboletes,1,679,147.28,2005
73283,Tolima,Fresno,1,718,139.28,2005
68190,Santander,Cimitarra,1,749,133.51,2005
5665,Antioquia,San Pedro de Uraba,1,786,127.23,2005
13442,Bolívar,María La Baja,1,798,125.31,2005
25843,Cundinamarca,Villa de San Diego de Ubate,1,813,123.00,2005
86001,Putumayo,Mocoa,1,830,120.48,2005
5376,Antioquia,La Ceja,1,852,117.37,2005
70670,Sucre,Sampués,1,878,113.90,2005
76275,Valle del Cauca,Florida,1,888,112.61,2005
13052,Bolívar,Arjona,1,917,109.05,2005
66682,Risaralda,Santa Rosa de Cabal,1,992,100.81,2005
63130,Quindio,Calarca,1,1077,92.85,2005
50006,Meta,Acacías,1,1098,91.07,2005
20013,Cesar,Agustín Codazzi,1,1143,87.49,2005
47288,Magdalena,Fundación,1,1179,84.82,2005
76364,Valle del Cauca,Jamundí,1,1374,72.78,2005
81001,Arauca,Arauca,1,1596,62.66,2005
15238,Boyacá,Duitama,1,1813,55.16,2005
13490,Bolívar,Norosí,0,0,#¡DIV/0!,2005
19300,Cauca,Guachené ,0,0,#¡DIV/0!,2005
23682,Córdoba ,San José de Uré(1),0,0,#¡DIV/0!,2005
23815,Córdoba ,Tuchín,0,0,#¡DIV/0!,2005
94885,Guainía,La Guadalupe (ANM),0,0,#¡DIV/0!,2005
94888,Guainía,Morichal (ANM),0,0,#¡DIV/0!,2005
94884,Guainía,Puerto Colombia (ANM),0,3,0.00,2005
27430,Chocó,Medio Baudó,0,14,0.00,2005
97666,Vaupés,Taraira,0,12,0.00,2005
97161,Vaupés,Caruru,0,27,0.00,2005
27425,Chocó,Medio Atrato,0,43,0.00,2005
27491,Chocó,Nóvita,0,17,0.00,2005
27250,Chocó,El Litoral del San Juan,0,9,0.00,2005
27073,Chocó,Bagadó,0,10,0.00,2005
25867,Cundinamarca,Vianí,0,44,0.00,2005
19809,Cauca,Timbiquí,0,123,0.00,2005
99624,Vichada,Santa Rosalía,0,67,0.00,2005
15293,Boyacá,Gachantivá,0,44,0.00,2005
94343,Guainía,Barranco Minas,0,48,0.00,2005
68217,Santander,Coromoro,0,104,0.00,2005
5576,Antioquia,Pueblorrico,0,149,0.00,2005
73873,Tolima,Villarrica,0,81,0.00,2005
76845,Valle del Cauca,Ulloa,0,80,0.00,2005
15464,Boyacá,Mongua,0,75,0.00,2005
15897,Boyacá,Zetaquira,0,78,0.00,2005
54520,Norte de Santander,Pamplonita,0,73,0.00,2005
27050,Chocó,Atrato,0,81,0.00,2005
19290,Cauca,Florencia,0,87,0.00,2005
47545,Magdalena,Pijiño del Carmen,0,148,0.00,2005
25596,Cundinamarca,Quipile,0,96,0.00,2005
25841,Cundinamarca,Ubaque,0,91,0.00,2005
70400,Sucre,La Unión,0,193,0.00,2005
41357,Huila,Iquira,0,164,0.00,2005
50150,Meta,Castilla la Nueva,0,113,0.00,2005
13074,Bolívar,Barranco de Loba,0,230,0.00,2005
41349,Huila,Hobo,0,128,0.00,2005
25845,Cundinamarca,Une,0,118,0.00,2005
52051,Nariño,Arboleda,0,104,0.00,2005
25488,Cundinamarca,Nilo,0,100,0.00,2005
68773,Santander,Sucre,0,161,0.00,2005
85225,Casanare,Nunchía,0,119,0.00,2005
13667,Bolívar,San Martín de Loba,0,268,0.00,2005
5113,Antioquia,Buriticá,0,134,0.00,2005
25535,Cundinamarca,Pasca,0,150,0.00,2005
19392,Cauca,La Sierra,0,123,0.00,2005
5842,Antioquia,Uramita,0,142,0.00,2005
50350,Meta,La Macarena,0,143,0.00,2005
13600,Bolívar,Río Viejo ,0,189,0.00,2005
17433,Caldas,Manzanares,0,254,0.00,2005
50370,Meta,Uribe,0,121,0.00,2005
19513,Cauca,Padilla,0,126,0.00,2005
15183,Boyacá,Chita,0,120,0.00,2005
41078,Huila,Baraya,0,152,0.00,2005
20443,Cesar,Manaure,0,158,0.00,2005
73026,Tolima,Alvarado,0,111,0.00,2005
13030,Bolívar,Altos del Rosario,0,144,0.00,2005
52490,Nariño,Olaya Herrera,0,221,0.00,2005
25769,Cundinamarca,Subachoque,0,217,0.00,2005
44855,La Guajira,Urumita,0,160,0.00,2005
15693,Boyacá,Santa Rosa de Viterbo,0,146,0.00,2005
18410,Caquetá,La Montañita,0,103,0.00,2005
5240,Antioquia,Ebéjico,0,208,0.00,2005
18205,Caquetá,Curillo,0,175,0.00,2005
66456,Risaralda,Mistrató,0,182,0.00,2005
70124,Sucre,Caimito,0,166,0.00,2005
25148,Cundinamarca,Caparrapí,0,183,0.00,2005
13780,Bolívar,Talaigua Nuevo,0,216,0.00,2005
76890,Valle del Cauca,Yotoco,0,211,0.00,2005
17444,Caldas,Marquetalia,0,238,0.00,2005
41676,Huila,Santa María,0,212,0.00,2005
50287,Meta,Fuente de Oro,0,228,0.00,2005
25402,Cundinamarca,La Vega,0,218,0.00,2005
23419,Córdoba ,Los Córdobas,0,230,0.00,2005
70678,Sucre,San Benito Abad,0,271,0.00,2005
5480,Antioquia,Mutatá,0,175,0.00,2005
76113,Valle del Cauca,Bugalagrande,0,267,0.00,2005
25260,Cundinamarca,El Rosal,0,311,0.00,2005
5585,Antioquia,Puerto Nare,0,328,0.00,2005
73555,Tolima,Planadas,0,530,0.00,2005
97000,Vaupés,Vaupés,0,559,0.00,2005
25214,Cundinamarca,Cota,0,270,0.00,2005
76041,Valle del Cauca,Ansermanuevo,0,325,0.00,2005
23500,Córdoba ,Moñitos,0,274,0.00,2005
20400,Cesar,La Jagua de Ibirico,0,588,0.00,2005
8685,Atlántico,Santo Tomás,0,336,0.00,2005
73449,Tolima,Melgar,0,661,0.00,2005
5591,Antioquia,Puerto Triunfo,0,360,0.00,2005
5079,Antioquia,Barbosa,0,724,0.00,2005
13873,Bolívar,Villanueva,0,342,0.00,2005
5093,Antioquia,Betulia,0,366,0.00,2005
70717,Sucre,San Pedro,0,369,0.00,2005
13744,Bolívar,Simití,0,376,0.00,2005
18247,Caquetá,El Doncello,0,369,0.00,2005
19743,Cauca,Silvia,0,308,0.00,2005
8606,Atlántico,Repelón,0,351,0.00,2005
47570,Magdalena,Puebloviejo,0,290,0.00,2005
17013,Caldas,Aguadas,0,331,0.00,2005
63190,Quindio,Circasia,0,331,0.00,2005
5679,Antioquia,Santa Bárbara,0,364,0.00,2005
19256,Cauca,El Tambo,0,697,0.00,2005
73217,Tolima,Coyaima,0,391,0.00,2005
23672,Córdoba ,San Antero,0,521,0.00,2005
41359,Huila,Isnos,0,427,0.00,2005
86568,Putumayo,Puerto Asís,0,1165,0.00,2005
66594,Risaralda,Quinchía,0,458,0.00,2005
86573,Putumayo,Leguízamo,0,381,0.00,2005
52227,Nariño,Cumbal,0,482,0.00,2005
52678,Nariño,Samaniego,0,425,0.00,2005
20621,Cesar,La Paz,0,386,0.00,2005
25430,Cundinamarca,Madrid,0,1173,0.00,2005
68615,Santander,Rionegro,0,470,0.00,2005
76318,Valle del Cauca,Guacarí,0,497,0.00,2005
54261,Norte de Santander,El Zulia,0,459,0.00,2005
76400,Valle del Cauca,La Unión,0,478,0.00,2005
13468,Bolívar,Mompós,0,473,0.00,2005
5250,Antioquia,El Bagre,0,1006,0.00,2005
23580,Córdoba ,Puerto Libertador,0,537,0.00,2005
15516,Boyacá,Paipa,0,511,0.00,2005
47053,Magdalena,Aracataca,0,401,0.00,2005
76130,Valle del Cauca,Candelaria,0,1081,0.00,2005
99000,Vichada,Vichada,0,829,0.00,2005
23855,Córdoba ,Valencia,0,610,0.00,2005
76111,Valle del Cauca,Guadalajara de Buga,0,1851,0.00,2005
17873,Caldas,Villamaría,0,575,0.00,2005
23189,Córdoba ,Ciénaga de Oro,0,788,0.00,2005
73168,Tolima,Chaparral,0,1158,0.00,2005
52838,Nariño,Túquerres,0,707,0.00,2005
8638,Atlántico,Sabanalarga,0,1458,0.00,2005
41006,Huila,Acevedo,0,742,0.00,2005
5440,Antioquia,Marinilla,0,759,0.00,2005
25126,Cundinamarca,Cajicá,0,743,0.00,2005
5212,Antioquia,Copacabana,0,868,0.00,2005
54874,Norte de Santander,Villa del Rosario,0,887,0.00,2005
88001,Archipiélago de San Andrés,San Andrés,0,921,0.00,2005
88000,Archipiélago de San Andrés,"Archipiélago de San Andrés, Providencia y Santa Catalina",0,978,0.00,2005
23466,Córdoba ,Montelíbano,0,990,0.00,2005
15759,Boyacá,Sogamoso,0,1954,0.00,2005
23162,Córdoba ,Cereté,0,1688,0.00,2005
25473,Cundinamarca,Mosquera,0,963,0.00,2005
41396,Huila,La Plata,0,1281,0.00,2005
17001,Caldas,Manizales,0,5129,0.00,2005
13244,Bolívar,El Carmen de Bolívar,0,1067,0.00,2005
70215,Sucre,Corozal,0,1261,0.00,2005
25899,Cundinamarca,Zipaquirá,0,1828,0.00,2005
25290,Cundinamarca,Fusagasugá,0,1905,0.00,2005
68547,Santander,Piedecuesta,0,1871,0.00,2005
23660,Córdoba ,Sahagún,0,1884,0.00,2005
20011,Cesar,Aguachica,0,1876,0.00,2005
68307,Santander,Girón,0,2152,0.00,2005
85001,Casanare,Yopal,0,2575,0.00,2005
68276,Santander,Floridablanca,0,4260,0.00,2005
5002,Antioquia,Abejorral,0,346,0.00,2005
5004,Antioquia,Abriaquí,0,33,0.00,2005
5021,Antioquia,Alejandría,0,57,0.00,2005
5030,Antioquia,Amagá,0,397,0.00,2005
5031,Antioquia,Amalfi,0,413,0.00,2005
5034,Antioquia,Andes,0,724,0.00,2005
5036,Antioquia,Angelópolis,0,79,0.00,2005
5040,Antioquia,Anorí,0,328,0.00,2005
5044,Antioquia,Anza,0,130,0.00,2005
5055,Antioquia,Argelia,0,160,0.00,2005
5059,Antioquia,Armenia,0,68,0.00,2005
5086,Antioquia,Belmira,0,120,0.00,2005
5091,Antioquia,Betania,0,178,0.00,2005
5107,Antioquia,Briceño,0,198,0.00,2005
5125,Antioquia,Caicedo,0,170,0.00,2005
5129,Antioquia,Caldas,0,962,0.00,2005
5134,Antioquia,Campamento,0,196,0.00,2005
5138,Antioquia,Cañasgordas,0,259,0.00,2005
5142,Antioquia,Caracolí,0,91,0.00,2005
5145,Antioquia,Caramanta,0,111,0.00,2005
5147,Antioquia,Carepa,0,1037,0.00,2005
5148,Antioquia,El Carmen de Viboral,0,698,0.00,2005
5150,Antioquia,Carolina,0,45,0.00,2005
5197,Antioquia,Cocorná,0,185,0.00,2005
5206,Antioquia,Concepción,0,68,0.00,2005
5209,Antioquia,Concordia,0,391,0.00,2005
5237,Antioquia,Don Matías,0,369,0.00,2005
5264,Antioquia,Entrerrios,0,169,0.00,2005
5282,Antioquia,Fredonia,0,291,0.00,2005
5306,Antioquia,Giraldo,0,62,0.00,2005
5308,Antioquia,Girardota,0,504,0.00,2005
5310,Antioquia,Gómez Plata,0,163,0.00,2005
5313,Antioquia,Granada,0,128,0.00,2005
5315,Antioquia,Guadalupe,0,103,0.00,2005
5318,Antioquia,Guarne,0,465,0.00,2005
5321,Antioquia,Guatapé,0,89,0.00,2005
5347,Antioquia,Heliconia,0,102,0.00,2005
5353,Antioquia,Hispania,0,77,0.00,2005
5364,Antioquia,Jardín,0,267,0.00,2005
5368,Antioquia,Jericó,0,138,0.00,2005
5380,Antioquia,La Estrella,0,635,0.00,2005
5390,Antioquia,La Pintada,0,141,0.00,2005
5400,Antioquia,La Unión,0,334,0.00,2005
5411,Antioquia,Liborina,0,188,0.00,2005
5425,Antioquia,Maceo,0,145,0.00,2005
5467,Antioquia,Montebello,0,124,0.00,2005
5475,Antioquia,Murindó,0,38,0.00,2005
5483,Antioquia,Nariño,0,242,0.00,2005
5501,Antioquia,Olaya,0,42,0.00,2005
5541,Antioquia,Peñol,0,242,0.00,2005
5543,Antioquia,Peque,0,120,0.00,2005
5628,Antioquia,Sabanalarga,0,163,0.00,2005
5631,Antioquia,Sabaneta,0,399,0.00,2005
5647,Antioquia,San Andrés de Cuerquía,0,152,0.00,2005
5652,Antioquia,San Francisco,0,96,0.00,2005
5656,Antioquia,San Jerónimo,0,182,0.00,2005
5658,Antioquia,San José de La Montaña,0,81,0.00,2005
5659,Antioquia,San Juan de Urabá,0,388,0.00,2005
5660,Antioquia,San Luis,0,178,0.00,2005
5664,Antioquia,San Pedro,0,469,0.00,2005
5670,Antioquia,San Roque,0,326,0.00,2005
5686,Antioquia,Santa Rosa de Osos,0,621,0.00,2005
5690,Antioquia,Santo Domingo,0,172,0.00,2005
5697,Antioquia,El Santuario,0,504,0.00,2005
5756,Antioquia,Sonson,0,685,0.00,2005
5761,Antioquia,Sopetrán,0,215,0.00,2005
5790,Antioquia,Tarazá,0,1053,0.00,2005
5792,Antioquia,Tarso,0,90,0.00,2005
5809,Antioquia,Titiribí,0,132,0.00,2005
5819,Antioquia,Toledo,0,113,0.00,2005
5847,Antioquia,Urrao,0,472,0.00,2005
5854,Antioquia,Valdivia,0,365,0.00,2005
5856,Antioquia,Valparaíso,0,78,0.00,2005
5858,Antioquia,Vegachí,0,273,0.00,2005
5861,Antioquia,Venecia,0,216,0.00,2005
5885,Antioquia,Yalí,0,108,0.00,2005
5887,Antioquia,Yarumal,0,910,0.00,2005
5890,Antioquia,Yolombó,0,417,0.00,2005
5893,Antioquia,Yondó,0,274,0.00,2005
8141,Atlántico,Candelaria,0,223,0.00,2005
